
date,dxy,vix,oil,y10,yc_10_2
2015-09-21,110.6414,20.14,46.67,2.2,0.0
2015-09-22,111.1967,22.44,46.17,2.14,0.0
2015-09-23,111.6287,22.13,44.53,2.16,0.0
2015-09-24,111.4454,23.47,44.94,2.13,0.0
2015-09-25,111.3725,23.62,45.55,2.17,0.0
2015-09-28,111.3914,27.63,44.4,2.1,0.0
2015-09-29,111.5219,26.83,45.24,2.05,0.0
2015-09-30,111.3311,24.5,45.06,2.06,0.0
2015-10-01,111.0439,22.55,44.75,2.05,0.0
2015-10-02,110.7006,20.94,45.54,1.99,0.0
2015-10-05,110.4445,19.54,46.28,2.07,0.0
2015-10-06,110.1371,19.4,48.53,2.05,0.0
2015-10-07,109.8162,18.4,47.86,2.08,0.0
2015-10-08,109.6452,17.42,49.46,2.12,0.0
2015-10-09,109.0782,17.08,49.67,2.12,0.0
2015-10-12,,16.17,47.09,,
2015-10-13,109.4119,17.67,46.7,2.06,0.0
2015-10-14,109.1244,18.03,46.63,1.99,0.0
2015-10-15,108.6671,16.05,46.38,2.04,0.0
2015-10-16,108.9956,15.05,47.3,2.04,0.0
2015-10-19,109.3858,14.98,45.91,2.04,0.0
2015-10-20,109.3368,15.75,45.84,2.08,0.0
2015-10-21,109.7746,16.7,45.22,2.04,0.0
2015-10-22,110.0342,14.45,44.9,2.04,0.0
2015-10-23,110.4329,14.46,43.91,2.09,0.0
2015-10-26,110.2089,15.29,43.19,2.07,0.0
2015-10-27,110.4875,15.43,43.21,2.05,0.0
2015-10-28,110.2334,14.33,45.93,2.1,0.0
2015-10-29,110.8083,14.61,46.02,2.19,0.0
2015-10-30,110.2079,15.07,46.6,2.16,0.0
2015-11-02,110.2188,14.15,46.12,2.2,0.0
2015-11-03,110.244,14.54,47.88,2.23,0.0
2015-11-04,110.7139,15.51,46.32,2.25,0.0
2015-11-05,110.8302,15.05,45.27,2.26,0.0
2015-11-06,111.7603,14.33,44.32,2.34,0.0
2015-11-09,111.9112,16.52,43.87,2.36,0.0
2015-11-10,111.9919,15.29,44.23,2.32,0.0
2015-11-11,,16.06,42.95,,
2015-11-12,111.7965,18.37,41.74,2.32,0.0
2015-11-13,112.0264,20.08,40.69,2.28,0.0
2015-11-16,112.2199,18.16,41.68,2.27,0.0
2015-11-17,112.3141,18.84,40.73,2.25,0.0
2015-11-18,112.3663,16.85,40.75,2.27,0.0
2015-11-19,111.5749,16.99,40.55,2.24,0.0
2015-11-20,111.7799,15.47,39.39,2.26,0.0
2015-11-23,112.1125,15.62,39.27,2.25,0.0
2015-11-24,111.7638,15.93,40.89,2.24,0.0
2015-11-25,111.8936,15.19,41.22,2.23,0.0
2015-11-26,,,,,
2015-11-27,112.2824,15.12,40.57,2.22,0.0
2015-11-30,112.34,16.13,40.43,2.21,0.0
2015-12-01,112.1134,14.67,40.58,2.15,0.0
2015-12-02,112.3715,15.91,39.93,2.18,0.0
2015-12-03,111.6407,18.11,41.08,2.33,0.0
2015-12-04,111.5463,14.81,40.0,2.28,0.0
2015-12-07,112.3056,15.84,37.64,2.23,0.0
2015-12-08,112.5485,17.6,37.46,2.24,0.0
2015-12-09,112.1918,19.61,37.16,2.22,0.0
2015-12-10,112.2672,19.34,36.76,2.24,0.0
2015-12-11,112.7147,24.39,35.65,2.13,0.0
2015-12-14,112.7521,22.73,36.31,2.23,0.0
2015-12-15,112.8609,20.95,37.32,2.28,0.0
2015-12-16,112.9864,17.86,35.55,2.3,0.0
2015-12-17,113.8177,18.94,34.98,2.24,0.0
2015-12-18,113.2837,20.7,34.72,2.19,0.0
2015-12-21,113.4144,18.7,34.55,2.2,0.0
2015-12-22,113.211,16.6,36.12,2.24,0.0
2015-12-23,113.1847,15.57,36.76,2.27,0.0
2015-12-24,113.0496,15.74,37.62,2.25,0.0
2015-12-25,,,,,
2015-12-28,113.0461,16.91,36.36,2.24,0.0
2015-12-29,113.1664,16.08,37.88,2.32,0.0
2015-12-30,113.4707,17.29,36.59,2.31,0.0
2015-12-31,113.3429,18.21,37.13,2.27,0.0
2016-01-01,,,,,
2016-01-04,114.1595,20.7,36.81,2.24,0.0
2016-01-05,114.2649,19.34,35.97,2.25,0.0
2016-01-06,114.6177,20.59,33.97,2.18,0.0
2016-01-07,114.6516,24.99,33.29,2.16,0.0
2016-01-08,115.0095,27.01,33.2,2.13,0.0
2016-01-11,115.0139,24.3,31.42,2.17,0.0
2016-01-12,115.3128,22.47,30.42,2.12,0.0
2016-01-13,115.1425,25.22,30.42,2.08,0.0
2016-01-14,115.3846,23.95,31.22,2.1,0.0
2016-01-15,115.7404,27.02,29.45,2.03,0.0
2016-01-18,,,,,
2016-01-19,115.8155,26.05,28.47,2.06,0.0
2016-01-20,116.3498,27.59,26.68,2.01,0.0
2016-01-21,115.9833,26.69,29.55,2.02,0.0
2016-01-22,,22.34,32.07,2.07,0.0
2016-01-25,,24.15,30.31,2.03,0.0
2016-01-26,,22.5,29.54,2.01,0.0
2016-01-27,115.5087,23.11,32.32,2.02,0.0
2016-01-28,115.2224,22.42,33.21,2.0,0.0
2016-01-29,115.5731,20.2,33.66,1.94,0.0
2016-02-01,115.3331,19.98,31.62,1.97,0.0
2016-02-02,115.553,21.98,29.9,1.87,0.0
2016-02-03,114.6144,21.65,32.29,1.88,0.0
2016-02-04,113.6012,21.84,31.63,1.87,0.0
2016-02-05,114.2935,23.38,30.86,1.86,0.0
2016-02-08,114.4351,26.0,29.71,1.75,0.0
2016-02-09,114.127,26.54,27.96,1.74,0.0
2016-02-10,114.2877,26.29,27.54,1.71,0.0
2016-02-11,114.1845,28.14,26.19,1.63,0.0
2016-02-12,114.2992,25.4,29.32,1.74,0.0
2016-02-15,,,,,
2016-02-16,114.4905,24.11,29.05,1.78,0.0
2016-02-17,113.8634,22.31,30.68,1.81,0.0
2016-02-18,113.8897,21.64,30.77,1.75,0.0
2016-02-19,113.9558,20.53,29.59,1.76,0.0
2016-02-22,113.8232,19.38,31.37,1.77,0.0
2016-02-23,114.177,20.98,31.84,1.74,0.0
2016-02-24,114.1716,20.72,30.35,1.75,0.0
2016-02-25,113.9222,19.11,31.4,1.71,0.0
2016-02-26,114.3708,19.81,31.65,1.76,0.0
2016-02-29,114.2418,20.55,32.74,1.74,0.0
2016-03-01,113.9265,17.7,34.39,1.83,0.0
2016-03-02,113.7965,17.09,34.57,1.84,0.0
2016-03-03,113.2482,16.7,34.56,1.83,0.0
2016-03-04,112.6387,16.86,35.91,1.88,0.0
2016-03-07,112.6219,17.35,37.9,1.91,0.0
2016-03-08,112.8465,18.67,36.67,1.83,0.0
2016-03-09,112.4268,18.34,37.62,1.9,0.0
2016-03-10,112.4191,18.05,37.77,1.93,0.0
2016-03-11,111.741,16.5,38.51,1.98,0.0
2016-03-14,112.1688,16.92,37.2,1.97,0.0
2016-03-15,112.5545,16.84,36.32,1.97,0.0
2016-03-16,112.7759,14.99,38.43,1.94,0.0
2016-03-17,110.445,14.44,40.17,1.91,0.0
2016-03-18,110.4002,14.02,39.47,1.88,0.0
2016-03-21,110.737,13.79,39.91,1.92,0.0
2016-03-22,110.7877,14.17,41.45,1.94,0.0
2016-03-23,111.5473,14.94,38.28,1.88,0.0
2016-03-24,111.816,14.74,38.14,1.91,0.0
2016-03-25,111.7698,,,,
2016-03-28,111.3578,15.24,37.99,1.89,0.0
2016-03-29,111.3736,13.82,36.91,1.81,0.0
2016-03-30,110.2301,13.56,36.91,1.83,0.0
2016-03-31,109.9191,13.95,36.94,1.78,0.0
2016-04-01,110.2977,13.1,35.36,1.79,0.0
2016-04-04,110.3987,14.12,34.3,1.78,0.0
2016-04-05,110.9478,15.42,34.52,1.73,0.0
2016-04-06,110.5347,14.09,37.74,1.76,0.0
2016-04-07,110.8876,16.16,37.3,1.7,0.0
2016-04-08,110.4213,15.36,39.74,1.72,0.0
2016-04-11,109.9758,16.26,40.46,1.73,0.0
2016-04-12,109.816,14.85,42.12,1.79,0.0
2016-04-13,110.1436,13.84,41.7,1.77,0.0
2016-04-14,110.1691,13.72,41.45,1.8,0.0
2016-04-15,110.1933,13.62,40.4,1.76,0.0
2016-04-18,109.9892,13.35,39.74,1.78,0.0
2016-04-19,109.2782,13.24,40.88,1.79,0.0
2016-04-20,109.3926,13.28,42.72,1.85,0.0
2016-04-21,109.8533,13.95,43.18,1.88,0.0
2016-04-22,110.2331,13.22,42.76,1.89,0.0
2016-04-25,110.1865,14.08,41.67,1.91,0.0
2016-04-26,109.7496,13.96,42.52,1.94,0.0
2016-04-27,109.8483,13.77,45.29,1.87,0.0
2016-04-28,109.2148,15.22,46.03,1.84,0.0
2016-04-29,108.8274,15.7,45.98,1.83,0.0
2016-05-02,108.671,14.68,44.75,1.88,0.0
2016-05-03,109.3613,15.6,43.65,1.81,0.0
2016-05-04,109.9952,16.05,43.77,1.79,0.0
2016-05-05,110.2417,15.91,44.33,1.76,0.0
2016-05-06,110.3801,14.72,44.58,1.79,0.0
2016-05-09,110.9466,14.57,43.45,1.77,0.0
2016-05-10,110.8225,13.63,44.68,1.77,0.0
2016-05-11,110.2806,14.69,46.21,1.73,0.0
2016-05-12,110.6935,14.41,46.64,1.75,0.0
2016-05-13,111.2521,15.04,46.22,1.71,0.0
2016-05-16,111.1217,14.68,47.72,1.75,0.0
2016-05-17,111.0867,15.57,48.29,1.76,0.0
2016-05-18,111.4995,15.95,48.12,1.87,0.0
2016-05-19,112.2331,16.33,48.16,1.85,0.0
2016-05-20,112.1822,15.2,47.67,1.85,0.0
2016-05-23,112.284,15.82,48.12,1.84,0.0
2016-05-24,112.2912,14.42,48.04,1.86,0.0
2016-05-25,112.2001,13.9,49.1,1.87,0.0
2016-05-26,111.8979,13.43,49.0,1.83,0.0
2016-05-27,112.0822,13.12,49.36,1.85,0.0
2016-05-30,,,,,
2016-05-31,112.4276,14.19,49.1,1.84,0.0
2016-06-01,112.462,14.2,49.07,1.85,0.0
